appId,clientId,clientSecretKey,password,userName
regproc,mosip-regproc-client,OxRqifxmhy4OS9Rj,mosip@123,110124
regproc,mosip-regproc-client,OxRqifxmhy4OS9Rj,mosip@123,110080
regproc,mosip-regproc-client,OxRqifxmhy4OS9Rj,mosip@123,110070
regproc,mosip-regproc-client,OxRqifxmhy4OS9Rj,mosip@123,110124
regproc,mosip-regproc-client,OxRqifxmhy4OS9Rj,mosip@123,110080
regproc,mosip-regproc-client,OxRqifxmhy4OS9Rj,mosip@123,110070
regproc,mosip-regproc-client,OxRqifxmhy4OS9Rj,mosip@123,110124
ida,mosip-ida-client,V1nciLfB8fBBGx1S,mosip@123,110080
ida,mosip-ida-client,V1nciLfB8fBBGx1S,mosip@123,110070
ida,mosip-ida-client,V1nciLfB8fBBGx1S,mosip@123,110124
ida,mosip-ida-client,V1nciLfB8fBBGx1S,mosip@123,110080
ida,mosip-ida-client,V1nciLfB8fBBGx1S,mosip@123,110070
ida,mosip-ida-client,V1nciLfB8fBBGx1S,mosip@123,110124
ida,mosip-ida-client,V1nciLfB8fBBGx1S,mosip@123,110080
partner,mosip-partner-client,XdZAtT8pnTAXv3iA,mosip@123,110070
partner,mosip-partner-client,XdZAtT8pnTAXv3iA,mosip@123,110124
partner,mosip-partner-client,XdZAtT8pnTAXv3iA,mosip@123,110080
partner,mosip-partner-client,XdZAtT8pnTAXv3iA,mosip@123,110070
partner,mosip-partner-client,XdZAtT8pnTAXv3iA,mosip@123,110124
partner,mosip-partner-client,XdZAtT8pnTAXv3iA,mosip@123,110080
partner,mosip-partner-client,XdZAtT8pnTAXv3iA,mosip@123,110070
resident,mosip-resident-client,tdSuXvF4L9oMSoR4,mosip@123,110124
resident,mosip-resident-client,tdSuXvF4L9oMSoR4,mosip@123,110080
resident,mosip-resident-client,tdSuXvF4L9oMSoR4,mosip@123,110070
resident,mosip-resident-client,tdSuXvF4L9oMSoR4,mosip@123,110124
resident,mosip-resident-client,tdSuXvF4L9oMSoR4,mosip@123,110080
resident,mosip-resident-client,tdSuXvF4L9oMSoR4,mosip@123,110070
resident,mosip-resident-client,tdSuXvF4L9oMSoR4,mosip@123,110124
datsha,mosip-datsha-client,FFCnNqhonOKh7Iol,mosip@123,110080
datsha,mosip-datsha-client,FFCnNqhonOKh7Iol,mosip@123,110070
datsha,mosip-datsha-client,FFCnNqhonOKh7Iol,mosip@123,110124
datsha,mosip-datsha-client,FFCnNqhonOKh7Iol,mosip@123,110080
datsha,mosip-datsha-client,FFCnNqhonOKh7Iol,mosip@123,110070
datsha,mosip-datsha-client,FFCnNqhonOKh7Iol,mosip@123,110124
datsha,mosip-datsha-client,FFCnNqhonOKh7Iol,mosip@123,110080
crereq,mosip-crereq-client,5F315k9jxWRiB9bd,mosip@123,110070
crereq,mosip-crereq-client,5F315k9jxWRiB9bd,mosip@123,110124
crereq,mosip-crereq-client,5F315k9jxWRiB9bd,mosip@123,110080
crereq,mosip-crereq-client,5F315k9jxWRiB9bd,mosip@123,110070
creser,mosip-creser-client,7f6ZiiPB7FOU7Hta,mosip@123,110124
creser,mosip-creser-client,7f6ZiiPB7FOU7Hta,mosip@123,110080
creser,mosip-creser-client,7f6ZiiPB7FOU7Hta,mosip@123,110070
creser,mosip-creser-client,7f6ZiiPB7FOU7Hta,mosip@123,110124
